表章項目 コード,表章項目,就業状態（詳細集計） コード,就業状態（詳細集計）,性別 コード,性別,教育 コード,教育,地域 コード,地域,時間軸（四半期） コード,時間軸（四半期）,/年齢階級(詳細集計）,総数,15～24歳,25～34歳,35～44歳,45～54歳,55～64歳,65歳以上,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70～74歳,75歳以上
6,15歳以上人口【万人】,0,15歳以上人口,0,総数,0,総数,0,全国,2018000103,2018年1～3月期,,11077,1216,1323,1706,1772,1528,3532,632,584,599,724,747,959,939,833,753,775,965,797,1771
6,15歳以上人口【万人】,0,15歳以上人口,0,総数,5,うち卒業,0,全国,2018000103,2018年1～3月期,,10013,415,1280,1676,1736,1493,3412,63,352,573,707,733,943,919,817,734,759,945,776,1692
6,15歳以上人口【万人】,0,15歳以上人口,1,男,0,総数,0,全国,2018000103,2018年1～3月期,,5345,623,674,864,893,758,1534,327,296,308,365,375,488,469,423,380,378,458,370,705
6,15歳以上人口【万人】,0,15歳以上人口,1,男,5,うち卒業,0,全国,2018000103,2018年1～3月期,,4803,210,648,849,873,738,1486,38,171,292,356,366,482,459,414,368,370,448,360,678
6,15歳以上人口【万人】,0,15歳以上人口,2,女,0,総数,0,全国,2018000103,2018年1～3月期,,5732,592,649,842,879,771,1998,305,288,291,358,372,470,470,410,373,397,507,426,1065
6,15歳以上人口【万人】,0,15歳以上人口,2,女,5,うち卒業,0,全国,2018000103,2018年1～3月期,,5210,206,632,827,863,756,1926,25,181,282,350,366,461,460,403,366,389,497,415,1014
6,15歳以上人口【万人】,12,労働力人口(2018年～),0,総数,0,総数,0,全国,2018000103,2018年1～3月期,,6762,552,1162,1482,1549,1170,848,115,437,539,623,641,840,823,726,624,547,437,232,179
6,15歳以上人口【万人】,12,労働力人口(2018年～),0,総数,5,うち卒業,0,全国,2018000103,2018年1～3月期,,6427,358,1130,1456,1518,1143,822,38,321,521,609,629,827,805,713,608,535,427,224,172
6,15歳以上人口【万人】,12,労働力人口(2018年～),1,男,0,総数,0,全国,2018000103,2018年1～3月期,,3781,274,641,833,855,668,510,56,218,294,347,361,472,454,401,354,314,261,139,109
6,15歳以上人口【万人】,12,労働力人口(2018年～),1,男,5,うち卒業,0,全国,2018000103,2018年1～3月期,,3603,179,621,819,838,651,494,23,157,282,340,353,466,444,394,344,307,254,135,104
6,15歳以上人口【万人】,12,労働力人口(2018年～),2,女,0,総数,0,全国,2018000103,2018年1～3月期,,2982,278,521,649,694,502,338,58,220,245,276,280,369,369,325,269,233,176,92,70
6,15歳以上人口【万人】,12,労働力人口(2018年～),2,女,5,うち卒業,0,全国,2018000103,2018年1～3月期,,2825,179,509,637,680,492,329,15,164,239,270,276,361,361,319,264,228,172,89,68
6,15歳以上人口【万人】,2,就業者,0,総数,0,総数,0,全国,2018000103,2018年1～3月期,,6578,525,1118,1446,1514,1144,832,109,416,516,602,625,821,803,711,611,533,427,229,176
6,15歳以上人口【万人】,2,就業者,0,総数,5,うち卒業,0,全国,2018000103,2018年1～3月期,,6252,336,1088,1421,1484,1116,807,34,302,499,589,613,808,786,698,595,521,417,222,169
6,15歳以上人口【万人】,2,就業者,1,男,0,総数,0,全国,2018000103,2018年1～3月期,,3676,259,616,814,837,652,498,53,206,280,336,353,462,443,393,347,305,254,138,106
6,15歳以上人口【万人】,2,就業者,1,男,5,うち卒業,0,全国,2018000103,2018年1～3月期,,3502,167,598,800,820,635,482,20,146,269,329,344,456,434,386,337,298,247,133,101
6,15歳以上人口【万人】,2,就業者,2,女,0,総数,0,全国,2018000103,2018年1～3月期,,2902,265,502,631,678,491,334,56,210,235,266,272,359,360,318,263,228,173,91,70
6,15歳以上人口【万人】,2,就業者,2,女,5,うち卒業,0,全国,2018000103,2018年1～3月期,,2750,169,491,621,664,481,325,14,155,230,261,268,352,352,312,258,223,169,88,68
6,15歳以上人口【万人】,21,追加就労希望就業者,0,総数,0,総数,0,全国,2018000103,2018年1～3月期,,177,26,25,43,38,27,19,10,16,9,16,17,26,21,17,11,15,10,4,4
6,15歳以上人口【万人】,21,追加就労希望就業者,0,総数,5,うち卒業,0,全国,2018000103,2018年1～3月期,,162,11,25,43,38,26,19,2,9,9,16,17,26,21,17,11,15,10,4,4
6,15歳以上人口【万人】,21,追加就労希望就業者,1,男,0,総数,0,全国,2018000103,2018年1～3月期,,44,12,6,5,4,8,9,4,8,3,3,3,1,3,2,3,5,4,2,3
6,15歳以上人口【万人】,21,追加就労希望就業者,1,男,5,うち卒業,0,全国,2018000103,2018年1～3月期,,37,5,6,5,4,8,9,0,4,3,3,3,1,3,2,3,5,4,2,3
6,15歳以上人口【万人】,21,追加就労希望就業者,2,女,0,総数,0,全国,2018000103,2018年1～3月期,,133,14,19,38,34,19,9,5,8,6,13,14,24,19,15,8,11,6,2,1
6,15歳以上人口【万人】,21,追加就労希望就業者,2,女,5,うち卒業,0,全国,2018000103,2018年1～3月期,,126,6,19,38,34,19,9,2,4,6,13,14,24,19,15,8,11,6,2,1
6,15歳以上人口【万人】,13,失業者,0,総数,0,総数,0,全国,2018000103,2018年1～3月期,,184,27,44,36,35,27,16,6,22,23,21,16,20,19,15,13,14,10,3,3
6,15歳以上人口【万人】,13,失業者,0,総数,5,うち卒業,0,全国,2018000103,2018年1～3月期,,175,22,42,35,34,27,15,3,19,22,20,16,19,19,15,13,14,10,2,3
6,15歳以上人口【万人】,13,失業者,1,男,0,総数,0,全国,2018000103,2018年1～3月期,,105,15,25,19,19,16,12,3,11,14,11,9,10,11,8,7,9,7,2,3
6,15歳以上人口【万人】,13,失業者,1,男,5,うち卒業,0,全国,2018000103,2018年1～3月期,,101,13,24,19,18,16,12,2,10,13,11,9,10,11,8,7,9,7,2,3
6,15歳以上人口【万人】,13,失業者,2,女,0,総数,0,全国,2018000103,2018年1～3月期,,80,13,19,17,16,11,4,3,10,10,9,8,10,9,7,6,5,3,1,0
6,15歳以上人口【万人】,13,失業者,2,女,5,うち卒業,0,全国,2018000103,2018年1～3月期,,74,10,18,17,16,11,4,1,9,9,9,8,9,9,7,6,5,3,0,0
6,15歳以上人口【万人】,7,完全失業者,0,総数,0,総数,0,全国,2018000103,2018年1～3月期,,169,24,42,33,32,25,14,4,20,22,19,16,17,18,14,12,13,9,3,2
6,15歳以上人口【万人】,7,完全失業者,0,総数,5,うち卒業,0,全国,2018000103,2018年1～3月期,,164,22,40,32,32,25,13,3,19,21,19,16,17,18,14,12,13,9,2,2
6,15歳以上人口【万人】,7,完全失業者,1,男,0,総数,0,全国,2018000103,2018年1～3月期,,100,13,24,18,19,16,10,2,11,13,11,9,10,11,8,7,9,7,2,2
6,15歳以上人口【万人】,7,完全失業者,1,男,5,うち卒業,0,全国,2018000103,2018年1～3月期,,98,12,23,18,18,16,10,2,10,12,11,9,10,11,8,7,9,7,2,2
6,15歳以上人口【万人】,7,完全失業者,2,女,0,総数,0,全国,2018000103,2018年1～3月期,,69,11,17,15,14,9,3,2,9,9,9,7,7,8,6,5,4,2,1,0
6,15歳以上人口【万人】,7,完全失業者,2,女,5,うち卒業,0,全国,2018000103,2018年1～3月期,,66,10,17,14,14,9,3,1,9,8,8,7,7,8,6,5,4,2,0,0
6,15歳以上人口【万人】,22,非自発的失業者,0,総数,0,総数,0,全国,2018000103,2018年1～3月期,,46,3,8,6,10,13,7,1,2,2,6,3,4,5,4,4,8,5,2,1
6,15歳以上人口【万人】,22,非自発的失業者,0,総数,5,うち卒業,0,全国,2018000103,2018年1～3月期,,44,2,7,6,10,13,7,0,2,2,5,3,4,5,4,4,8,5,1,1
6,15歳以上人口【万人】,22,非自発的失業者,1,男,0,総数,0,全国,2018000103,2018年1～3月期,,30,2,5,3,6,9,5,1,1,1,4,1,2,2,3,3,6,4,1,1
6,15歳以上人口【万人】,22,非自発的失業者,1,男,5,うち卒業,0,全国,2018000103,2018年1～3月期,,29,1,5,3,6,9,5,0,1,1,4,1,2,2,3,3,6,4,1,1
6,15歳以上人口【万人】,22,非自発的失業者,2,女,0,総数,0,全国,2018000103,2018年1～3月期,,16,1,3,3,4,4,2,***,1,1,1,1,2,3,1,2,2,1,1,0
6,15歳以上人口【万人】,22,非自発的失業者,2,女,5,うち卒業,0,全国,2018000103,2018年1～3月期,,15,1,3,3,4,4,1,***,1,1,1,1,2,3,1,2,2,1,0,0
6,15歳以上人口【万人】,14,非労働力人口(2018年～),0,総数,0,総数,0,全国,2018000103,2018年1～3月期,,4315,664,161,224,223,358,2685,517,147,60,101,106,118,116,107,129,229,528,565,1591
6,15歳以上人口【万人】,14,非労働力人口(2018年～),0,総数,5,うち卒業,0,全国,2018000103,2018年1～3月期,,3586,57,150,220,219,351,2589,26,32,53,97,104,116,114,105,126,225,518,551,1520
6,15歳以上人口【万人】,14,非労働力人口(2018年～),1,男,0,総数,0,全国,2018000103,2018年1～3月期,,1564,349,33,31,37,90,1024,271,79,14,19,14,17,15,22,25,64,197,231,596
6,15歳以上人口【万人】,14,非労働力人口(2018年～),1,男,5,うち卒業,0,全国,2018000103,2018年1～3月期,,1200,30,27,29,35,87,993,16,15,10,17,13,16,14,21,24,63,193,225,574
6,15歳以上人口【万人】,14,非労働力人口(2018年～),2,女,0,総数,0,全国,2018000103,2018年1～3月期,,2751,314,128,194,185,268,1660,246,68,46,83,92,102,101,85,104,165,331,334,995
6,15歳以上人口【万人】,14,非労働力人口(2018年～),2,女,5,うち卒業,0,全国,2018000103,2018年1～3月期,,2385,27,123,190,184,264,1597,10,17,43,81,90,100,100,84,102,162,325,326,946
6,15歳以上人口【万人】,18,潜在労働力人口,0,総数,0,総数,0,全国,2018000103,2018年1～3月期,,37,5,4,6,4,4,14,2,2,2,2,2,4,3,1,2,3,6,4,3
6,15歳以上人口【万人】,18,潜在労働力人口,0,総数,5,うち卒業,0,全国,2018000103,2018年1～3月期,,34,2,4,6,4,4,14,1,2,2,2,2,4,3,1,2,3,6,4,3
6,15歳以上人口【万人】,18,潜在労働力人口,1,男,0,総数,0,全国,2018000103,2018年1～3月期,,15,2,2,1,1,1,8,1,1,1,1,0,1,1,0,***,1,3,3,2
6,15歳以上人口【万人】,18,潜在労働力人口,1,男,5,うち卒業,0,全国,2018000103,2018年1～3月期,,14,1,2,1,1,1,8,0,0,1,1,0,1,1,0,***,1,3,3,2
6,15歳以上人口【万人】,18,潜在労働力人口,2,女,0,総数,0,全国,2018000103,2018年1～3月期,,22,3,2,5,3,3,6,1,1,1,1,2,3,2,1,2,1,4,1,1
6,15歳以上人口【万人】,18,潜在労働力人口,2,女,5,うち卒業,0,全国,2018000103,2018年1～3月期,,21,2,2,5,3,3,6,0,1,1,1,2,3,2,1,2,1,4,1,1
6,15歳以上人口【万人】,19,拡張求職者,0,総数,0,総数,0,全国,2018000103,2018年1～3月期,,2,1,0,0,0,0,0,0,1,0,***,***,0,0,***,0,***,***,0,0
6,15歳以上人口【万人】,19,拡張求職者,0,総数,5,うち卒業,0,全国,2018000103,2018年1～3月期,,2,0,0,0,0,0,0,***,0,0,***,***,0,0,***,0,***,***,0,0
6,15歳以上人口【万人】,19,拡張求職者,1,男,0,総数,0,全国,2018000103,2018年1～3月期,,1,0,0,***,***,***,0,***,0,0,***,***,***,***,***,***,***,***,0,0
6,15歳以上人口【万人】,19,拡張求職者,1,男,5,うち卒業,0,全国,2018000103,2018年1～3月期,,1,0,0,***,***,***,0,***,0,0,***,***,***,***,***,***,***,***,0,0
6,15歳以上人口【万人】,19,拡張求職者,2,女,0,総数,0,全国,2018000103,2018年1～3月期,,2,1,0,0,0,0,***,0,1,0,***,***,0,0,***,0,***,***,***,***
6,15歳以上人口【万人】,19,拡張求職者,2,女,5,うち卒業,0,全国,2018000103,2018年1～3月期,,1,0,0,0,0,0,***,***,0,0,***,***,0,0,***,0,***,***,***,***
6,15歳以上人口【万人】,20,就業可能非求職者,0,総数,0,総数,0,全国,2018000103,2018年1～3月期,,35,4,4,6,4,4,14,2,2,2,2,2,4,3,1,1,3,6,4,3
6,15歳以上人口【万人】,20,就業可能非求職者,0,総数,5,うち卒業,0,全国,2018000103,2018年1～3月期,,33,2,4,6,4,4,14,1,1,2,2,2,4,3,1,1,3,6,4,3
6,15歳以上人口【万人】,20,就業可能非求職者,1,男,0,総数,0,全国,2018000103,2018年1～3月期,,14,2,2,1,1,1,7,1,1,1,1,0,1,1,0,***,1,3,3,2
6,15歳以上人口【万人】,20,就業可能非求職者,1,男,5,うち卒業,0,全国,2018000103,2018年1～3月期,,13,1,2,1,1,1,7,0,0,1,1,0,1,1,0,***,1,3,3,2
6,15歳以上人口【万人】,20,就業可能非求職者,2,女,0,総数,0,全国,2018000103,2018年1～3月期,,20,2,2,5,3,3,6,1,1,1,1,2,3,2,1,1,1,4,1,1
6,15歳以上人口【万人】,20,就業可能非求職者,2,女,5,うち卒業,0,全国,2018000103,2018年1～3月期,,20,1,2,5,3,3,6,0,1,1,1,2,3,2,1,1,1,4,1,1
