区分,種類,対象,時間軸(年次),管区警察局,/認知・検挙件数・検挙人員,認知件数【件】,検挙件数【件】,検挙率【%】,検挙人員【人】
重要犯罪,,,2016年,全国,,"11,546","8,843",76.6,"7,236"
重要犯罪,,,2016年,北海道,,397,334,84.1,260
重要犯罪,,,2016年,札幌方面,,274,223,81.4,168
重要犯罪,,,2016年,函館方面,,33,27,81.8,18
重要犯罪,,,2016年,旭川方面,,36,33,91.7,31
重要犯罪,,,2016年,釧路方面,,42,39,92.9,34
重要犯罪,,,2016年,北見方面,,12,12,100,9
重要犯罪,,,2016年,東北管区,,505,385,76.2,283
重要犯罪,,,2016年,青森県,,60,43,71.7,28
重要犯罪,,,2016年,岩手県,,61,48,78.7,34
重要犯罪,,,2016年,宮城県,,204,158,77.5,103
重要犯罪,,,2016年,秋田県,,26,27,103.8,24
重要犯罪,,,2016年,山形県,,50,38,76,26
重要犯罪,,,2016年,福島県,,104,71,68.3,68
重要犯罪,,,2016年,東京都,,"1,526","1,318",86.4,"1,175"
重要犯罪,,,2016年,関東管区,,"3,360","2,520",75,"1,965"
重要犯罪,,,2016年,茨城県,,241,187,77.6,161
重要犯罪,,,2016年,栃木県,,106,89,84,79
重要犯罪,,,2016年,群馬県,,113,93,82.3,91
重要犯罪,,,2016年,埼玉県,,822,631,76.8,526
重要犯罪,,,2016年,千葉県,,709,436,61.5,331
重要犯罪,,,2016年,神奈川県,,791,660,83.4,428
重要犯罪,,,2016年,新潟県,,120,91,75.8,78
重要犯罪,,,2016年,山梨県,,40,25,62.5,23
重要犯罪,,,2016年,長野県,,125,102,81.6,63
重要犯罪,,,2016年,静岡県,,293,206,70.3,185
重要犯罪,,,2016年,中部管区,,"1,060",836,78.9,704
重要犯罪,,,2016年,富山県,,26,22,84.6,26
重要犯罪,,,2016年,石川県,,60,59,98.3,42
重要犯罪,,,2016年,福井県,,42,44,104.8,28
重要犯罪,,,2016年,岐阜県,,126,104,82.5,87
重要犯罪,,,2016年,愛知県,,708,512,72.3,457
重要犯罪,,,2016年,三重県,,98,95,96.9,64
重要犯罪,,,2016年,近畿管区,,"2,892","1,938",67,"1,576"
重要犯罪,,,2016年,滋賀県,,133,97,72.9,77
重要犯罪,,,2016年,京都府,,242,190,78.5,171
重要犯罪,,,2016年,大阪府,,"1,758","1,028",58.5,812
重要犯罪,,,2016年,兵庫県,,591,475,80.4,399
重要犯罪,,,2016年,奈良県,,105,85,81,63
重要犯罪,,,2016年,和歌山県,,63,63,100,54
重要犯罪,,,2016年,中国管区,,459,405,88.2,359
重要犯罪,,,2016年,鳥取県,,33,28,84.8,22
重要犯罪,,,2016年,島根県,,28,23,82.1,19
重要犯罪,,,2016年,岡山県,,136,133,97.8,106
重要犯罪,,,2016年,広島県,,199,164,82.4,157
重要犯罪,,,2016年,山口県,,63,57,90.5,55
重要犯罪,,,2016年,四国管区,,232,220,94.8,172
重要犯罪,,,2016年,徳島県,,42,41,97.6,26
重要犯罪,,,2016年,香川県,,72,73,101.4,72
重要犯罪,,,2016年,愛媛県,,78,64,82.1,44
重要犯罪,,,2016年,高知県,,40,42,105,30
重要犯罪,,,2016年,九州管区,,"1,115",887,79.6,742
重要犯罪,,,2016年,福岡県,,620,473,76.3,354
重要犯罪,,,2016年,佐賀県,,39,32,82.1,30
重要犯罪,,,2016年,長崎県,,57,41,71.9,33
重要犯罪,,,2016年,熊本県,,107,100,93.5,95
重要犯罪,,,2016年,大分県,,29,26,89.7,23
重要犯罪,,,2016年,宮崎県,,85,57,67.1,61
重要犯罪,,,2016年,鹿児島県,,89,78,87.6,74
重要犯罪,,,2016年,沖縄県,,89,80,89.9,72
重要犯罪,,,2015年,全国,,"12,565","9,082",72.3,"7,213"
重要犯罪,,,2015年,北海道,,493,331,67.1,253
重要犯罪,,,2015年,札幌方面,,350,223,63.7,165
重要犯罪,,,2015年,函館方面,,52,38,73.1,30
重要犯罪,,,2015年,旭川方面,,27,21,77.8,18
重要犯罪,,,2015年,釧路方面,,51,40,78.4,31
重要犯罪,,,2015年,北見方面,,13,9,69.2,9
重要犯罪,,,2015年,東北管区,,598,498,83.3,321
重要犯罪,,,2015年,青森県,,65,60,92.3,38
重要犯罪,,,2015年,岩手県,,66,51,77.3,33
重要犯罪,,,2015年,宮城県,,262,204,77.9,105
重要犯罪,,,2015年,秋田県,,40,43,107.5,39
重要犯罪,,,2015年,山形県,,44,29,65.9,25
重要犯罪,,,2015年,福島県,,121,111,91.7,81
重要犯罪,,,2015年,東京都,,"1,583","1,247",78.8,"1,105"
重要犯罪,,,2015年,関東管区,,"3,277","2,551",77.8,"2,027"
重要犯罪,,,2015年,茨城県,,248,196,79,171
重要犯罪,,,2015年,栃木県,,97,85,87.6,82
重要犯罪,,,2015年,群馬県,,118,111,94.1,100
重要犯罪,,,2015年,埼玉県,,839,597,71.2,477
重要犯罪,,,2015年,千葉県,,602,450,74.8,376
重要犯罪,,,2015年,神奈川県,,792,684,86.4,451
重要犯罪,,,2015年,新潟県,,124,94,75.8,77
重要犯罪,,,2015年,山梨県,,56,37,66.1,26
重要犯罪,,,2015年,長野県,,136,96,70.6,75
重要犯罪,,,2015年,静岡県,,265,201,75.8,192
重要犯罪,,,2015年,中部管区,,"1,135",822,72.4,667
重要犯罪,,,2015年,富山県,,32,23,71.9,27
重要犯罪,,,2015年,石川県,,90,74,82.2,44
重要犯罪,,,2015年,福井県,,56,56,100,46
重要犯罪,,,2015年,岐阜県,,148,99,66.9,83
重要犯罪,,,2015年,愛知県,,718,496,69.1,407
重要犯罪,,,2015年,三重県,,91,74,81.3,60
重要犯罪,,,2015年,近畿管区,,"3,259","1,815",55.7,"1,460"
重要犯罪,,,2015年,滋賀県,,137,83,60.6,56
重要犯罪,,,2015年,京都府,,271,192,70.8,142
重要犯罪,,,2015年,大阪府,,"1,974",993,50.3,810
重要犯罪,,,2015年,兵庫県,,695,412,59.3,346
重要犯罪,,,2015年,奈良県,,111,70,63.1,56
重要犯罪,,,2015年,和歌山県,,71,65,91.5,50
重要犯罪,,,2015年,中国管区,,541,476,88,383
重要犯罪,,,2015年,鳥取県,,45,44,97.8,25
重要犯罪,,,2015年,島根県,,40,36,90,22
重要犯罪,,,2015年,岡山県,,122,114,93.4,98
重要犯罪,,,2015年,広島県,,261,205,78.5,170
重要犯罪,,,2015年,山口県,,73,77,105.5,68
重要犯罪,,,2015年,四国管区,,293,246,84,216
重要犯罪,,,2015年,徳島県,,45,37,82.2,34
重要犯罪,,,2015年,香川県,,92,90,97.8,73
重要犯罪,,,2015年,愛媛県,,114,89,78.1,77
重要犯罪,,,2015年,高知県,,42,30,71.4,32
重要犯罪,,,2015年,九州管区,,"1,386","1,096",79.1,781
重要犯罪,,,2015年,福岡県,,808,608,75.2,388
重要犯罪,,,2015年,佐賀県,,59,52,88.1,41
重要犯罪,,,2015年,長崎県,,56,43,76.8,29
重要犯罪,,,2015年,熊本県,,122,106,86.9,87
重要犯罪,,,2015年,大分県,,47,49,104.3,40
重要犯罪,,,2015年,宮崎県,,79,61,77.2,35
重要犯罪,,,2015年,鹿児島県,,86,64,74.4,57
重要犯罪,,,2015年,沖縄県,,129,113,87.6,104
重要犯罪,,,2014年,全国,,"14,051","9,579",68.2,"7,326"
重要犯罪,,,2014年,北海道,,444,323,72.7,219
重要犯罪,,,2014年,札幌方面,,315,221,70.2,145
重要犯罪,,,2014年,函館方面,,43,30,69.8,22
重要犯罪,,,2014年,旭川方面,,31,27,87.1,17
重要犯罪,,,2014年,釧路方面,,45,35,77.8,27
重要犯罪,,,2014年,北見方面,,10,10,100,8
重要犯罪,,,2014年,東北管区,,581,411,70.7,281
重要犯罪,,,2014年,青森県,,86,58,67.4,46
重要犯罪,,,2014年,岩手県,,78,67,85.9,41
重要犯罪,,,2014年,宮城県,,232,159,68.5,92
重要犯罪,,,2014年,秋田県,,30,23,76.7,21
重要犯罪,,,2014年,山形県,,51,38,74.5,27
重要犯罪,,,2014年,福島県,,104,66,63.5,54
重要犯罪,,,2014年,東京都,,"1,926","1,436",74.6,"1,178"
重要犯罪,,,2014年,関東管区,,"3,955","2,898",73.3,"2,105"
重要犯罪,,,2014年,茨城県,,262,196,74.8,150
重要犯罪,,,2014年,栃木県,,135,123,91.1,100
重要犯罪,,,2014年,群馬県,,144,133,92.4,111
重要犯罪,,,2014年,埼玉県,,"1,054",751,71.3,530
重要犯罪,,,2014年,千葉県,,772,499,64.6,359
重要犯罪,,,2014年,神奈川県,,932,710,76.2,442
重要犯罪,,,2014年,新潟県,,140,119,85,100
重要犯罪,,,2014年,山梨県,,67,47,70.1,40
重要犯罪,,,2014年,長野県,,129,85,65.9,70
重要犯罪,,,2014年,静岡県,,320,235,73.4,203
重要犯罪,,,2014年,中部管区,,"1,254",828,66,663
重要犯罪,,,2014年,富山県,,47,22,46.8,20
重要犯罪,,,2014年,石川県,,92,82,89.1,35
重要犯罪,,,2014年,福井県,,53,37,69.8,37
重要犯罪,,,2014年,岐阜県,,145,90,62.1,73
重要犯罪,,,2014年,愛知県,,802,511,63.7,408
重要犯罪,,,2014年,三重県,,115,86,74.8,90
重要犯罪,,,2014年,近畿管区,,"3,549","1,944",54.8,"1,501"
重要犯罪,,,2014年,滋賀県,,125,81,64.8,61
重要犯罪,,,2014年,京都府,,331,201,60.7,176
重要犯罪,,,2014年,大阪府,,"2,173","1,027",47.3,778
重要犯罪,,,2014年,兵庫県,,698,478,68.5,383
重要犯罪,,,2014年,奈良県,,139,84,60.4,50
重要犯罪,,,2014年,和歌山県,,83,73,88,53
重要犯罪,,,2014年,中国管区,,573,446,77.8,384
重要犯罪,,,2014年,鳥取県,,33,28,84.8,20
重要犯罪,,,2014年,島根県,,42,27,64.3,30
重要犯罪,,,2014年,岡山県,,123,112,91.1,98
重要犯罪,,,2014年,広島県,,288,204,70.8,168
重要犯罪,,,2014年,山口県,,87,75,86.2,68
重要犯罪,,,2014年,四国管区,,359,269,74.9,214
重要犯罪,,,2014年,徳島県,,45,43,95.6,33
重要犯罪,,,2014年,香川県,,99,85,85.9,81
重要犯罪,,,2014年,愛媛県,,161,103,64,67
重要犯罪,,,2014年,高知県,,54,38,70.4,33
重要犯罪,,,2014年,九州管区,,"1,410","1,024",72.6,781
重要犯罪,,,2014年,福岡県,,747,487,65.2,369
重要犯罪,,,2014年,佐賀県,,71,66,93,40
重要犯罪,,,2014年,長崎県,,78,51,65.4,32
