"調査年","地域","/Ａ　人口・世帯","A1101_人口総数【人】","A110101_人口総数（男）【人】","A110102_人口総数（女）【人】","A1205_２０～２４歳人口【人】","A120501_２０～２４歳人口（男）【人】","A120502_２０～２４歳人口（女）【人】","A1206_２５～２９歳人口【人】","A120601_２５～２９歳人口（男）【人】","A120602_２５～２９歳人口（女）【人】","A1207_３０～３４歳人口【人】","A120701_３０～３４歳人口（男）【人】","A120702_３０～３４歳人口（女）【人】","A1208_３５～３９歳人口【人】","A120801_３５～３９歳人口（男）【人】","A120802_３５～３９歳人口（女）【人】","A1209_４０～４４歳人口【人】","A120901_４０～４４歳人口（男）【人】","A120902_４０～４４歳人口（女）【人】","A1210_４５～４９歳人口【人】","A121001_４５～４９歳人口（男）【人】","A121002_４５～４９歳人口（女）【人】","A1211_５０～５４歳人口【人】","A121101_５０～５４歳人口（男）【人】","A121102_５０～５４歳人口（女）【人】","A1212_５５～５９歳人口【人】","A121201_５５～５９歳人口（男）【人】","A121202_５５～５９歳人口（女）【人】","A1213_６０～６４歳人口【人】","A121301_６０～６４歳人口（男）【人】","A121302_６０～６４歳人口（女）【人】","A1214_６５～６９歳人口【人】","A121401_６５～６９歳人口（男）【人】","A121402_６５～６９歳人口（女）【人】","A1215_７０～７４歳人口【人】","A121501_７０～７４歳人口（男）【人】","A121502_７０～７４歳人口（女）【人】","A1216_７５～７９歳人口【人】","A121601_７５～７９歳人口（男）【人】","A121602_７５～７９歳人口（女）【人】","A1217_８０～８４歳人口【人】","A121701_８０～８４歳人口（男）【人】","A121702_８０～８４歳人口（女）【人】","A1218_８５～８９歳人口【人】","A121801_８５～８９歳人口（男）【人】","A121802_８５～８９歳人口（女）【人】","A1219_９０～９４歳人口【人】","A121901_９０～９４歳人口（男）【人】","A121902_９０～９４歳人口（女）【人】","A1220_９５～９９歳人口【人】","A122001_９５～９９歳人口（男）【人】","A122002_９５～９９歳人口（女）【人】","A1221_１００歳以上人口【人】","A122101_１００歳以上人口（男）【人】","A122102_１００歳以上人口（女）【人】","A4101_出生数【人】","A410101_出生数（男）【人】","A410102_出生数（女）【人】","A4103_合計特殊出生率【‐】"
"2000年度","全国","","126925843","62110764","64815079","8421460","4307242","4114218","9790309","4965277","4825032","8776610","4436818","4339792","8114865","4096286","4018579","7800219","3924171","3876048","8916008","4467772","4448236","10441990","5210038","5231952","8734172","4290239","4443933","7735833","3749528","3986305","7105939","3357281","3748658","5900576","2670270","3230306","4150600","1625822","2524778","2614689","915268","1699421","1532323","477083","1055240","570281","149295","420986","118488","25070","93418","12256","2027","10229","1190547","612148","578399","1.36"
"2000年度","北海道","","5683062","2719389","2963673","358051","179696","178355","398170","195963","202207","358152","172198","185954","357383","172185","185198","358952","174914","184038","434070","209920","224150","481382","229636","251746","385065","179583","205482","359834","168237","191597","339288","160468","178820","278834","127800","151034","195597","78377","117220","121093","44180","76913","66167","21951","44216","24716","7056","17660","5337","1235","4102","520","92","428","46780","23826","22954","1.23"
"2000年度","青森県","","1475728","702573","773155","83011","42560","40451","90363","45332","45031","87273","42977","44296","91897","45177","46720","98801","48425","50376","114017","56186","57831","119930","58701","61229","94161","43731","50430","94762","43210","51552","96613","43422","53191","78886","34316","44570","54005","20409","33596","32547","10749","21798","17736","5204","12532","6159","1459","4700","1058","209","849","95","15","80","12920","6594","6326","1.47"
"2000年度","岩手県","","1416180","681238","734942","76343","38915","37428","85232","43623","41609","79712","39902","39810","84657","42730","41927","91882","46367","45515","106079","53671","52408","108522","54528","53994","89729","42451","47278","93176","42674","50502","95946","43540","52406","84122","37324","46798","58094","22460","35634","36407","12553","23854","20418","6411","14007","7397","1897","5500","1471","308","1163","133","15","118","12410","6490","5920","1.56"
"2000年度","宮城県","","2365320","1158622","1206698","175751","90616","85135","174455","88171","86284","150618","75700","74918","147411","73769","73642","155461","77955","77506","178016","89501","88515","181886","92236","89650","142004","70479","71525","134689","64065","70624","131286","60647","70639","113809","51009","62800","79320","31534","47786","47234","16852","30382","26224","8235","17989","9411","2537","6874","1711","382","1329","161","31","130","22154","11416","10738","1.39"
"2000年度","秋田県","","1189279","564556","624723","58832","30453","28379","65128","32778","32350","61100","30300","30800","68529","33685","34844","78962","39182","39780","92625","46239","46386","96697","48121","48576","75961","35694","40267","82152","37095","45057","87300","39177","48123","78713","34099","44614","54634","20850","33784","33739","11757","21982","17962","5562","12400","6151","1614","4537","1153","259","894","112","20","92","9007","4555","4452","1.45"
"2000年度","山形県","","1244147","601372","642775","65859","34279","31580","71998","36671","35327","67204","33766","33438","72495","36256","36239","81315","40978","40337","93686","47923","45763","95248","49534","45714","74945","36981","37964","78421","36843","41578","83600","38154","45446","80080","34771","45309","58377","22539","35838","35039","12557","22482","20034","6439","13595","7005","1794","5211","1342","260","1082","113","18","95","10919","5582","5337","1.62"
"2000年度","福島県","","2126935","1037787","1089148","119831","61453","58378","134304","68556","65748","122192","61396","60796","129388","65537","63851","142094","72191","69903","161909","82964","78945","160370","83310","77060","126647","63189","63458","124922","58993","65929","130519","59683","70836","120714","53529","67185","86774","33898","52876","52227","18568","33659","29118","9047","20071","10302","2717","7585","1976","426","1550","167","26","141","20332","10576","9756","1.65"
"2000年度","茨城県","","2985676","1488340","1497336","190221","97137","93084","223503","116465","107038","197854","102794","95060","185924","95418","90506","192206","98271","93935","229032","116796","112236","249159","127140","122019","203737","104936","98801","173215","88446","84769","153156","74170","78986","134671","61660","73011","97124","37699","59425","60894","21096","39798","35465","11229","24236","12084","3392","8692","2141","468","1673","158","25","133","28220","14493","13727","1.47"
"2000年度","栃木県","","2004817","995859","1008958","123115","63057","60058","149181","77962","71219","132236","68193","64043","125902","64735","61167","132767","68184","64583","155971","80132","75839","168277","87017","81260","130261","66555","63706","112580","55689","56891","106272","50383","55889","95062","42746","52316","68376","26338","42038","41892","14544","27348","23321","7303","16018","7859","2208","5651","1576","354","1222","148","30","118","18976","9865","9111","1.48"
